name,<10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,≥80
AD,0,0,1,0,1,3,1,0,0
AP,0,1,10,0,1,1,1,0,0
BH,0,1,2,4,1,0,0,0,0
CH,0,0,6,1,2,0,0,1,0
CT,0,0,2,1,0,0,3,0,0
DL,0,5,16,10,11,3,3,0,1
GA,0,0,2,0,0,1,0,0,0
GJ,0,0,11,9,6,10,8,4,4
HR,0,2,5,5,8,2,4,0,0
HP,0,0,0,1,0,0,2,0,0
JK,3,1,10,8,7,2,9,2,0
KA,3,0,12,12,3,6,7,2,0
KL,2,2,52,56,34,20,7,1,2
MP,0,2,5,2,8,6,7,0,0
MH,7,10,44,49,35,26,17,6,1
MN,0,0,1,0,0,0,0,0,0
MZ,0,0,0,0,0,1,0,0,0
OD,0,1,0,1,0,0,1,0,0
PY,0,0,0,0,0,0,1,0,0
PB,3,4,4,7,6,2,5,4,1
RJ,1,1,7,9,4,2,1,0,0
TN,0,1,9,1,6,3,5,2,0
TL,2,4,16,7,9,6,5,2,1
UP,0,4,12,21,7,9,1,2,0
UK,1,0,5,1,0,0,0,0,0
WB,0,1,3,0,2,3,0,0,0
